final_Pout (Tfront=0.1) X,final_Pout (Tfront=0.1) Y,final_Pout (Tfront=0.2) X,final_Pout (Tfront=0.2) Y,final_Pout (Tfront=0.3) X,final_Pout (Tfront=0.3) Y,final_Pout (Tfront=0.4) X,final_Pout (Tfront=0.4) Y,final_Pout (Tfront=0.5) X,final_Pout (Tfront=0.5) Y,final_Pout (Tfront=0.6) X,final_Pout (Tfront=0.6) Y,final_Pout (Tfront=0.7) X,final_Pout (Tfront=0.7) Y,final_Pout (Tfront=0.8) X,final_Pout (Tfront=0.8) Y,final_Pout (Tfront=0.9) X,final_Pout (Tfront=0.9) Y,final_Pout (Tfront=0.05) X,final_Pout (Tfront=0.05) Y,final_Pout (Tfront=0.15) X,final_Pout (Tfront=0.15) Y,final_Pout (Tfront=0.25) X,final_Pout (Tfront=0.25) Y,final_Pout (Tfront=0.35) X,final_Pout (Tfront=0.35) Y,final_Pout (Tfront=0.45) X,final_Pout (Tfront=0.45) Y,final_Pout (Tfront=0.55) X,final_Pout (Tfront=0.55) Y,final_Pout (Tfront=0.65) X,final_Pout (Tfront=0.65) Y,final_Pout (Tfront=0.75) X,final_Pout (Tfront=0.75) Y,final_Pout (Tfront=0.85) X,final_Pout (Tfront=0.85) Y,final_Pout (Tfront=0.95) X,final_Pout (Tfront=0.95) Y
0.05,0.04387893086142472,0.05,0.02875137571892001,0.05,0.02055710372885938,0.05,0.01536406374374059,0.05,0.01179952767208903,0.05,0.009187010950060526,0.05,0.007153133042742841,0.05,0.005477537181830894,0.05,0.003936966098948354,0.05,0.05754552059321366,0.05,0.03498986138335027,0.05,0.0241125953690432,0.05,0.01759462720684495,0.05,0.01343742061529514,0.05,0.01040383920030008,0.05,0.00811505258463217,0.05,0.006290688304515793,0.05,0.004717191005782451,0.05,0.003023052922739532
0.08,0.05540470879247825,0.08,0.0389820172031965,0.08,0.02907028546542442,0.08,0.02246826373279132,0.08,0.01764088090055111,0.08,0.01393766113282461,0.08,0.01099659366765048,0.08,0.008511128785942717,0.08,0.006152666020458239,0.08,0.06821540375358266,0.08,0.04613813881159462,0.08,0.0336185711736417,0.08,0.02553055466513069,0.08,0.01985130307906125,0.08,0.01567442022076134,0.08,0.01239566543907928,0.08,0.009708311069929138,0.08,0.007342205588624598,0.08,0.004734272385239409
0.11,0.06268930681673437,0.11,0.04668042576336677,0.11,0.03599034631853128,0.11,0.02841723801365962,0.11,0.02270109418523716,0.11,0.01820526666039987,0.11,0.01452549131839233,0.11,0.01134591795851431,0.11,0.008261948261325333,0.11,0.07416273110162724,0.11,0.053787483138816,0.11,0.04091434994230109,0.11,0.03194975944846234,0.11,0.0253915469047214,0.11,0.02032854298616813,0.11,0.01628451355084018,0.11,0.01288809243242986,0.11,0.009829033324234064,0.11,0.006360465725380775
0.14,0.06754737383641127,0.14,0.05207881450665463,0.14,0.04148216462851865,0.14,0.03343375478655042,0.14,0.02712513709667983,0.14,0.02203962089368879,0.14,0.01775437076175269,0.14,0.01399844320315998,0.14,0.01025623728107502,0.14,0.07776076587739443,0.14,0.05920284994734831,0.14,0.04651698793575016,0.14,0.03719502249593044,0.14,0.03006261680582899,0.14,0.02445733242864253,0.14,0.01981514312204755,0.14,0.01581080938288308,0.14,0.01217361452466961,0.14,0.00790416433464247
0.17,0.07092553975696213,0.17,0.05664711854828867,0.17,0.04594189424757898,0.17,0.0376245605743917,0.17,0.03099732927865257,0.17,0.0254793485384396,0.17,0.02070336658841746,0.17,0.01646523516167411,0.17,0.01214578618677447,0.17,0.07998866171483965,0.17,0.06321865990281142,0.17,0.050961731091394,0.17,0.04156573989777647,0.17,0.03415863291810099,0.17,0.02811964869727436,0.17,0.0230277819332147,0.17,0.0185712195843628,0.17,0.01437152210149801,0.17,0.009368117249364014
0.2,0.07293864676088979,0.2,0.05982236704013735,0.2,0.04954703234805206,0.2,0.04126942254095541,0.2,0.03438077801726125,0.2,0.02855240176197845,0.2,0.02345040699613823,0.2,0.01877352462763434,0.2,0.01392590495396315,0.2,0.08128182967329353,0.2,0.06597971498221966,0.2,0.05444820571288177,0.2,0.04517190061570542,0.2,0.03766642085968262,0.2,0.0313614936904705,0.2,0.02590287804598003,0.2,0.02109473414575995,0.2,0.01643728163201147,0.2,0.01073970292454368
0.23,0.07481200652043778,0.23,0.0624511244539345,0.23,0.05257170663717982,0.23,0.04426067370106364,0.23,0.03730840890426096,0.23,0.03133238009910265,0.23,0.02594872256448894,0.23,0.02087857940426665,0.23,0.01559032005656179,0.23,0.08212761869876398,0.23,0.068281860172851,0.23,0.05726545778289562,0.23,0.0482503201399536,0.23,0.04070109403691828,0.23,0.03424442217833093,0.23,0.02857455412762747,0.23,0.0234082162707021,0.23,0.01835912173961119,0.23,0.01202047949185583
0.26,0.07580496596086546,0.26,0.06447713153590701,0.26,0.05492980933797302,0.26,0.04689909151919847,0.26,0.03992886255132683,0.26,0.03379684076061202,0.26,0.02820919520554203,0.26,0.02288629863578859,0.26,0.01713173688173536,0.26,0.08247698594880772,0.26,0.06977186736492312,0.26,0.05951810372259087,0.26,0.05070410847134164,0.26,0.04329832841298689,0.26,0.03677592816795854,0.26,0.0309375420869209,0.26,0.02554602527492881,0.26,0.02014875288949827,0.26,0.01320534851336361
0.29,0.07641936822177886,0.29,0.06584644275939966,0.29,0.05688795249941962,0.29,0.04907226714949415,0.29,0.04217346641457483,0.29,0.0359723256815341,0.29,0.03021558247014073,0.29,0.02469599351832247,0.29,0.01856918218481312,0.29,0.08240866537621822,0.29,0.07088281408655978,0.29,0.06122000011637529,0.29,0.05284906935870207,0.29,0.04545363614000775,0.29,0.03896831580226907,0.29,0.03306195794531823,0.29,0.02747250240350538,0.29,0.02179776915542488,0.29,0.01429286540747557
0.32,0.07678663885927511,0.32,0.06696856310765684,0.32,0.05842535144683181,0.32,0.05087199357049817,0.32,0.0440238623078606,0.32,0.03788706556076197,0.32,0.03210188153297649,0.32,0.02634522821309236,0.32,0.01987530898950674,0.32,0.08206197180626186,0.32,0.07166925147487149,0.32,0.06255097759680481,0.32,0.05451432150799981,0.32,0.04739124895406281,0.32,0.04093572223407968,0.32,0.03494270618097268,0.32,0.02924562695624881,0.32,0.02330652574796756,0.32,0.01527818115027567
