/Pdrop X,/Pdrop Y
1.28e-06,1.855086546594556e-14
1.280001e-06,1.856047592296103e-14
1.280002e-06,1.857010447239544e-14
1.280003e-06,1.857975114136159e-14
1.280004e-06,1.858941595703912e-14
1.280005e-06,1.859909894667839e-14
1.280006e-06,1.860880013759077e-14
1.280007e-06,1.86185195571584e-14
1.280008e-06,1.862825723283098e-14
1.280009e-06,1.863801319212045e-14
1.28001e-06,1.86477874626108e-14
1.280011e-06,1.865758007195209e-14
1.280012e-06,1.866739104786124e-14
1.280013e-06,1.867722041812323e-14
1.280014e-06,1.868706821059371e-14
1.280015e-06,1.86969344531912e-14
1.280016e-06,1.870681917390587e-14
1.280017e-06,1.871672240079544e-14
1.280018000000001e-06,1.872664416199215e-14
1.280019000000001e-06,1.873658448568395e-14
1.280020000000001e-06,1.874654340013921e-14
1.280021000000001e-06,1.875652093369282e-14
1.280022000000001e-06,1.876651711474306e-14
1.280023000000001e-06,1.877653197176838e-14
1.280024000000001e-06,1.878656553330678e-14
1.280025000000001e-06,1.879661782797197e-14
1.280026000000001e-06,1.880668888444529e-14
1.280027000000001e-06,1.881677873147936e-14
1.280028000000001e-06,1.882688739789304e-14
1.280029000000001e-06,1.883701491258298e-14
1.280030000000001e-06,1.884716130451497e-14
1.280031000000001e-06,1.885732660271756e-14
1.280032000000001e-06,1.886751083629754e-14
1.280033000000001e-06,1.887771403443491e-14
1.280034000000001e-06,1.888793622637462e-14
1.280035000000001e-06,1.889817744143611e-14
1.280036000000001e-06,1.890843770901177e-14
1.280037000000001e-06,1.891871705856381e-14
1.280038000000001e-06,1.892901551962801e-14
1.280039000000001e-06,1.893933312180963e-14
1.280040000000001e-06,1.894966989479169e-14
1.280041000000001e-06,1.896002586832326e-14
1.280042000000001e-06,1.897040107223204e-14
1.280043000000001e-06,1.898079553641587e-14
1.280044000000001e-06,1.899120929084356e-14
1.280045000000001e-06,1.900164236555999e-14
1.280046000000001e-06,1.901209479068908e-14
1.280047000000001e-06,1.9022566596414e-14
1.280048000000001e-06,1.903305781300392e-14
1.280049000000001e-06,1.904356847080048e-14
1.280050000000001e-06,1.905409860021575e-14
1.280051000000001e-06,1.906464823173717e-14
1.280052000000001e-06,1.907521739592831e-14
1.280053000000001e-06,1.908580612342744e-14
1.280054000000002e-06,1.909641444494523e-14
1.280055000000002e-06,1.910704239127106e-14
1.280056000000002e-06,1.911768999326932e-14
1.280057000000002e-06,1.912835728187393e-14
1.280058000000002e-06,1.913904428810277e-14
1.280059000000002e-06,1.914975104304759e-14
1.280060000000002e-06,1.916047757787157e-14
1.280061000000002e-06,1.917122392381699e-14
1.280062000000002e-06,1.918199011220562e-14
1.280063000000002e-06,1.919277617443117e-14
1.280064000000002e-06,1.920358214196744e-14
1.280065000000002e-06,1.921440804636147e-14
1.280066000000002e-06,1.92252539192455e-14
1.280067000000002e-06,1.923611979231718e-14
1.280068000000002e-06,1.924700569736306e-14
1.280069000000002e-06,1.925791166624135e-14
1.280070000000002e-06,1.926883773088966e-14
1.280071000000002e-06,1.927978392332642e-14
1.280072000000002e-06,1.929075027564244e-14
1.280073000000002e-06,1.930173682001206e-14
1.280074000000002e-06,1.931274358868821e-14
1.280075000000002e-06,1.932377061399994e-14
1.280076000000002e-06,1.933481792836019e-14
1.280077000000002e-06,1.934588556425379e-14
1.280078000000002e-06,1.935697355425492e-14
1.280079000000002e-06,1.93680819310079e-14
1.280080000000002e-06,1.937921072724341e-14
1.280081000000002e-06,1.939035997577204e-14
1.280082000000002e-06,1.940152970948362e-14
1.280083000000002e-06,1.94127199613435e-14
1.280084000000002e-06,1.942393076440662e-14
1.280085000000002e-06,1.943516215180452e-14
1.280086000000002e-06,1.944641415675172e-14
1.280087000000002e-06,1.94576868125377e-14
1.280088000000002e-06,1.946898015254383e-14
1.280089000000002e-06,1.948029421022521e-14
1.280090000000003e-06,1.94916290191237e-14
1.280091000000003e-06,1.950298461285988e-14
1.280092000000003e-06,1.951436102514335e-14
1.280093000000003e-06,1.952575828975369e-14
1.280094000000003e-06,1.953717644057005e-14
1.280095000000003e-06,1.954861551153862e-14
1.280096000000003e-06,1.956007553670203e-14
1.280097000000003e-06,1.957155655017714e-14
1.280098000000003e-06,1.958305858616955e-14
1.280099000000003e-06,1.959458167896578e-14
1.280100000000003e-06,1.960612586294017e-14
1.280101000000003e-06,1.961769117254932e-14
1.280102000000003e-06,1.962927764233216e-14
1.280103000000003e-06,1.964088530691768e-14
1.280104000000003e-06,1.965251420101652e-14
1.280105000000003e-06,1.966416435942362e-14
1.280106000000003e-06,1.96758358170213e-14
1.280107000000003e-06,1.968752860877899e-14
1.280108000000003e-06,1.969924276974773e-14
1.280109000000003e-06,1.971097833506534e-14
1.280110000000003e-06,1.972273533996623e-14
1.280111000000003e-06,1.973451381975381e-14
1.280112000000003e-06,1.97463138098323e-14
1.280113000000003e-06,1.975813534568594e-14
1.280114000000003e-06,1.9769978462888e-14
1.280115000000003e-06,1.978184319710252e-14
1.280116000000003e-06,1.979372958407641e-14
1.280117000000003e-06,1.980563765964837e-14
1.280118000000003e-06,1.981756745973847e-14
1.280119000000003e-06,1.98295190203641e-14
