Lane,Wavelength [nm],Insertion Loss [dB]
0,1270.0,-29.290420915705305
0,1270.01,-29.307409119243243
0,1270.0200000000002,-29.335475277834554
0,1270.0300000000002,-29.37483779317422
0,1270.0400000000002,-29.425729518616347
0,1270.0500000000004,-29.48840031964648
0,1270.0600000000004,-29.563119803486522
0,1270.0700000000004,-29.65018027177775
0,1270.0800000000006,-29.74989995759276
0,1270.0900000000006,-29.86262661664639
0,1270.1000000000006,-29.988741553831964
0,1270.1100000000008,-30.128664181482492
0,1270.1200000000008,-30.282857224203358
0,1270.1300000000008,-30.451832709555767
0,1270.140000000001,-30.636158915160777
0,1270.150000000001,-30.83646848295952
0,1270.160000000001,-31.05346796368153
0,1270.1700000000012,-31.287949122668344
0,1270.1800000000012,-31.540802428329556
0,1270.1900000000012,-31.813033263863105
0,1270.2000000000014,-32.10578156287304
0,1270.2100000000014,-32.42034578820975
0,1270.2200000000014,-32.758212470474
0,1270.2300000000016,-33.12109293961274
0,1270.2400000000016,-33.510969470235054
0,1270.2500000000016,-33.93015389985136
0,1270.2600000000018,-34.38136300867089
0,1270.2700000000018,-34.867816771167156
0,1270.2800000000018,-35.39336835467112
0,1270.290000000002,-35.96267904058801
0,1270.300000000002,-36.58145809444213
0,1270.310000000002,-37.25679887044062
0,1270.3200000000022,-37.99766156127733
0,1270.3300000000022,-38.81558677928795
0,1270.3400000000022,-39.72578656080698
0,1270.3500000000024,-40.748880967081185
0,1270.3600000000024,-41.91380095516644
0,1270.3700000000024,-43.262945152908785
0,1270.3800000000026,-44.86208263074724
0,1270.3900000000026,-46.82144867028672
0,1270.4000000000026,-49.347764767155
0,1270.4100000000028,-52.905026248946676
0,1270.4200000000028,-58.96812281309047
0,1270.4300000000028,-79.07154266568388
0,1270.440000000003,-58.87690653545367
0,1270.450000000003,-52.97433174209826
0,1270.460000000003,-49.522151057593355
0,1270.470000000003,-47.08673746397135
0,1270.4800000000032,-45.21246109226189
0,1270.4900000000032,-43.69537446771763
0,1270.5000000000032,-42.42641072754401
0,1270.5100000000034,-41.340366444964474
0,1270.5200000000034,-40.39514121484507
0,1270.5300000000034,-39.56196934620967
0,1270.5400000000036,-38.82032436977626
0,1270.5500000000036,-38.15504691262309
0,1270.5600000000036,-37.554624741583204
0,1270.5700000000038,-37.01011133997062
0,1270.5800000000038,-36.51441813678271
0,1270.5900000000038,-36.061835440541934
0,1270.600000000004,-35.64769875929357
0,1270.610000000004,-35.26815058042444
0,1270.620000000004,-34.91996660036311
0,1270.6300000000042,-34.60042654392938
0,1270.6400000000042,-34.30721649700674
0,1270.6500000000042,-34.03835393879342
0,1270.6600000000044,-33.79212940184213
0,1270.6700000000044,-33.567060491239204
0,1270.6800000000044,-33.361855217827724
0,1270.6900000000046,-33.175382425826314
0,1270.7000000000046,-33.00664768272911
0,1270.7100000000046,-32.85477340527832
0,1270.7200000000048,-32.71898229383663
0,1270.7300000000048,-32.59858335784507
0,1270.7400000000048,-32.49295997151317
0,1270.750000000005,-32.40155951594678
0,1270.760000000005,-32.32388424501553
0,1270.770000000005,-32.259483076421425
0,1270.7800000000052,-32.20794405593783
0,1270.7900000000052,-32.16888727231295
0,1270.8000000000052,-32.14195802528054
0,1270.8100000000054,-32.126820063316636
0,1270.8200000000054,-32.12314871379799
0,1270.8300000000054,-32.13062373622594
0,1270.8400000000056,-32.14892172163637
0,1270.8500000000056,-32.17770786799412
0,1270.8600000000056,-32.216626948893435
0,1270.8700000000058,-32.26529330016627
0,1270.8800000000058,-32.3232796476075
0,1270.8900000000058,-32.390104614723974
0,1270.900000000006,-32.465218778655434
0,1270.910000000006,-32.54798919287323
0,1270.920000000006,-32.637682382848034
0,1270.9300000000062,-32.73344595307226
0,1270.9400000000062,-32.83428913569648
0,1270.9500000000062,-32.939062883094856
0,1270.9600000000064,-33.04644046477832
0,1270.9700000000064,-33.1548999847952
0,1270.9800000000064,-33.262710775493936
0,1270.9900000000066,-33.36792621069805
0,1271.0000000000066,-33.46838604305753
0,1271.0100000000066,-33.5617317674327
0,1271.0200000000068,-33.64543857126084
0,1271.0300000000068,-33.71686692045211
0,1271.0400000000068,-33.773335525561365
0,1271.050000000007,-33.81221520884587
0,1271.060000000007,-33.831040103242096
0,1271.070000000007,-33.82762902985299
0,1271.0800000000072,-33.800206502201476
0,1271.0900000000072,-33.74751052813926
0,1271.1000000000072,-33.66887410888004
0,1271.1100000000074,-33.564269589735424
0,1271.1200000000074,-33.434309630759444
0,1271.1300000000074,-33.2802046256889
0,1271.1400000000074,-33.103682498343645
0,1271.1500000000076,-32.906881526841104
0,1271.1600000000076,-32.69222923741784
0,1271.1700000000076,-32.46232026978869
0,1271.1800000000078,-32.21980392015951
0,1271.1900000000078,-31.967288710850433
0,1271.2000000000078,-31.70726773576081
0,1271.210000000008,-31.442065405964847
0,1271.220000000008,-31.173803941677257
0,1271.230000000008,-30.90438660778353
0,1271.2400000000082,-30.635494139274563
0,1271.2500000000082,-30.36859083496526
0,1271.2600000000082,-30.10493718468194
0,1271.2700000000084,-29.84560644843134
0,1271.2800000000084,-29.59150319452911
0,1271.2900000000084,-29.34338234663622
0,1271.3000000000086,-29.10186774741581
0,1271.3100000000086,-28.86746961210018
0,1271.3200000000086,-28.6406005157895
0,1271.3300000000088,-28.421589754835995
0,1271.3400000000088,-28.210696056454722
0,1271.3500000000088,-28.008118694379117
0,1271.360000000009,-27.814007120202614
0,1271.370000000009,-27.628469246097215
0,1271.380000000009,-27.451578523607907
0,1271.3900000000092,-27.283379962726663
0,1271.4000000000092,-27.123895227446738
0,1271.4100000000092,-26.973126933141536
0,1271.4200000000094,-26.831062258314414
0,1271.4300000000094,-26.69767596979318
0,1271.4400000000094,-26.572932948932152
0,1271.4500000000096,-26.45679029341324
0,1271.4600000000096,-26.34919905903434
0,1271.4700000000096,-26.250105696993337
0,1271.4800000000098,-26.15945323279068
0,1271.4900000000098,-26.077182226424572
0,1271.5000000000098,-26.003231546854188
0,1271.51000000001,-25.937538988496772
0,1271.52000000001,-25.880041752776847
0,1271.53000000001,-25.83067681384073
0,1271.5400000000102,-25.789381183939643
0,1271.5500000000102,-25.7560920913048
0,1271.5600000000102,-25.730747080575505
0,1271.5700000000104,-25.713284043758087
0,1271.5800000000104,-25.703641187589255
0,1271.5900000000104,-25.70175694159387
0,1271.6000000000106,-25.70756980962408
0,1271.6100000000106,-25.721018165933984
0,1271.6200000000106,-25.742039995849318
0,1271.6300000000108,-25.770572579865227
0,1271.6400000000108,-25.80655211837761
0,1271.6500000000108,-25.849913293590852
0,1271.660000000011,-25.900588763726276
0,1271.670000000011,-25.95850858343475
0,1271.680000000011,-26.023599543320092
0,1271.6900000000112,-26.09578442016445
0,1271.7000000000112,-26.174981128066804
0,1271.7100000000112,-26.261101759922365
0,1271.7200000000114,-26.354051507183893
0,1271.7300000000114,-26.45372744457758
0,1271.7400000000114,-26.560017165654358
0,1271.7500000000114,-26.672797254316297
0,1271.7600000000116,-26.79193157637833
0,1271.7700000000116,-26.9172693760858
0,1271.7800000000116,-27.04864316114059
0,1271.7900000000118,-27.185866363732018
0,1271.8000000000118,-27.328730764656637
0,1271.8100000000118,-27.477003673667113
0,1271.820000000012,-27.630424863824658
0,1271.830000000012,-27.788703266046525
0,1271.840000000012,-27.951513441434916
0,1271.8500000000122,-28.118491864237747
0,1271.8600000000122,-28.289233065529867
0,1271.8700000000122,-28.463285715039532
0,1271.8800000000124,-28.640148744571388
0,1271.8900000000124,-28.819267654323074
0,1271.9000000000124,-29.0000311819205
0,1271.9100000000126,-29.18176856061266
0,1271.9200000000126,-29.36374763844501
0,1271.9300000000126,-29.545174178514998
0,1271.9400000000128,-29.72519269998658
0,1271.9500000000128,-29.90288924734582
0,1271.9600000000128,-30.077296483473855
0,1271.970000000013,-30.247401477249806
0,1271.980000000013,-30.4121564927321
0,1271.990000000013,-30.570492971297924
0,1272.0000000000132,-30.72133872987426
0,1272.0100000000132,-30.863638173900778
0,1272.0200000000132,-30.996375054365245
0,1272.0300000000134,-31.118597006301275
0,1272.0400000000134,-31.229440819629282
0,1272.0500000000134,-31.328157152416168
0,1272.0600000000136,-31.414133245445104
0,1272.0700000000136,-31.486912171138005
0,1272.0800000000136,-31.54620727485042
0,1272.0900000000138,-31.59191074187305
0,1272.1000000000138,-31.624095632004302
0,1272.1100000000138,-31.643011212740856
0,1272.120000000014,-31.64907193509752
0,1272.130000000014,-31.64284086433902
