g_dB (L=0.0003) X,g_dB (L=0.0003) Y,g_dB (L=0.0004) X,g_dB (L=0.0004) Y,g_dB (L=0.00025) X,g_dB (L=0.00025) Y,g_dB (L=0.00035) X,g_dB (L=0.00035) Y,g_dB (L=0.00044) X,g_dB (L=0.00044) Y
1e-07,12.53128427460113,1e-07,14.73947596074933,1e-07,11.39234564271752,1e-07,13.6481897717802,1e-07,15.59131215570365
1.258925411794167e-07,12.531218579566,1.258925411794167e-07,14.73936949285238,1.258925411794167e-07,11.39229405326273,1.258925411794167e-07,13.64810605868376,1.258925411794167e-07,15.59118346779778
1.584893192461114e-07,12.53113588505329,1.584893192461114e-07,14.7392354777794,1.584893192461114e-07,11.39222911386859,1.584893192461114e-07,13.6480006846746,1.584893192461114e-07,15.59102148544712
1.99526231496888e-07,12.53103178357162,1.99526231496888e-07,14.73906677496464,1.99526231496888e-07,11.39214736299212,1.99526231496888e-07,13.64786803425403,1.99526231496888e-07,15.59081757941363
2.511886431509581e-07,12.53090073508533,2.511886431509581e-07,14.73885440998268,2.511886431509581e-07,11.39204444945418,2.511886431509581e-07,13.6477010493079,2.511886431509581e-07,15.5905609049159
3.16227766016838e-07,12.53073576672355,3.16227766016838e-07,14.73858708885783,3.16227766016838e-07,11.3919148964625,3.16227766016838e-07,13.64749084679322,3.16227766016838e-07,15.59023781521619
3.981071705534974e-07,12.53052810272995,3.981071705534974e-07,14.73825059990122,3.981071705534974e-07,11.3917518107568,3.981071705534974e-07,13.6472262477346,3.981071705534974e-07,15.58983113964548
5.011872336272725e-07,12.53026669915009,5.011872336272725e-07,14.7378270620849,5.011872336272725e-07,11.39154651679153,5.011872336272725e-07,13.64689318515132,5.011872336272725e-07,15.58931927674519
6.309573444801936e-07,12.52993765891354,6.309573444801936e-07,14.73729398104227,6.309573444801936e-07,11.39128809674968,6.309573444801936e-07,13.64647396008341,6.309573444801936e-07,15.58867505585026
7.94328234724282e-07,12.52952349685214,7.94328234724282e-07,14.73662306418893,7.94328234724282e-07,11.39096281232582,7.94328234724282e-07,13.64594630720215,7.94328234724282e-07,15.58786430904621
