/Pdrop (Plsr=1.00e+00) X,/Pdrop (Plsr=1.00e+00) Y,/Pdrop (Plsr=1.00e-01) X,/Pdrop (Plsr=1.00e-01) Y,/Pdrop (Plsr=1.00e-02) X,/Pdrop (Plsr=1.00e-02) Y,/Pdrop (Plsr=1.00e-03) X,/Pdrop (Plsr=1.00e-03) Y,/Pdrop (Plsr=1.00e-04) X,/Pdrop (Plsr=1.00e-04) Y,/Pdrop (Plsr=1.00e-08) X,/Pdrop (Plsr=1.00e-08) Y
1.307e-06,0.07553832573713852,1.307e-06,0.04019004148415858,1.307e-06,0.006494127836648803,1.307e-06,0.0006651227982034194,1.307e-06,6.655121687439012e-05,1.307e-06,6.655216470458899e-09
1.307006e-06,0.07560813569714707,1.307006e-06,0.04104955436069562,1.307006e-06,0.006904884852125471,1.307006e-06,0.0007101348373526604,1.307006e-06,7.106264268395866e-05,1.307006e-06,7.102992986164098e-09
1.307012e-06,0.0756683071495553,1.307012e-06,0.04180252103519981,1.307012e-06,0.007304485959014567,1.307012e-06,0.0007545904962230581,1.307012e-06,7.552009489802995e-05,1.307012e-06,7.549373266499364e-09
1.307018e-06,0.07571905548580431,1.307018e-06,0.04244550493393603,1.307018e-06,0.007679952966893347,1.307018e-06,0.0007970271813932659,1.307018e-06,7.977693209073294e-05,1.307018e-06,7.975885052504147e-09
1.307024e-06,0.0757605594913912,1.307024e-06,0.04297625020248826,1.307024e-06,0.00801704090884621,1.307024e-06,0.000835731728489736,1.307024e-06,8.366109009357725e-05,1.307024e-06,8.365274541694883e-09
1.30703e-06,0.07579296086986645,1.30703e-06,0.04339337723115842,1.30703e-06,0.00830126580087814,1.30703e-06,0.0008688512057429621,1.30703e-06,8.698614608365119e-05,1.30703e-06,8.698860057120222e-09
1.307036e-06,0.0758163673490883,1.307036e-06,0.04369611235027721,1.307036e-06,0.008519184460525809,1.307036e-06,0.0008945664789493107,1.307036e-06,8.956878628745899e-05,1.307036e-06,8.957151054018933e-09
1.307042e-06,0.07583085516807,1.307042e-06,0.04388406682914581,1.307042e-06,0.008659742509579573,1.307042e-06,0.0009113093236450941,1.307042e-06,9.125076635997745e-05,1.307042e-06,9.125367754981362e-09
1.307048e-06,0.07583647090730143,1.307048e-06,0.04395707345788472,1.307048e-06,0.008715473542538875,1.307048e-06,0.0009179829768474472,1.307048e-06,9.192130332467837e-05,1.307048e-06,9.192429156999623e-09
1.307054e-06,0.07583323263654289,1.307054e-06,0.04391508433412372,1.307054e-06,0.008683346615056641,1.307054e-06,0.0009141334154270774,1.307054e-06,9.153451041745435e-05,1.307054e-06,9.153745403750492e-09
1.307059999999999e-06,0.07582113036439128,1.307059999999999e-06,0.04375813106794982,1.307059999999999e-06,0.008565117617222982,1.307059999999999e-06,0.0009000241686226343,1.307059999999999e-06,9.01170233288834e-05,1.307059999999999e-06,9.011980753023927e-09
1.307065999999999e-06,0.07580012578368434,1.307065999999999e-06,0.0434863476547508,1.307065999999999e-06,0.0083671249970556,1.307065999999999e-06,0.0008765925957289458,1.307065999999999e-06,8.776354256344418e-05,1.307065999999999e-06,8.776607603881855e-09
1.307071999999999e-06,0.07577015131636179,1.307071999999999e-06,0.04310005586769902,1.307071999999999e-06,0.008099564451454759,1.307071999999999e-06,0.0008453006314466778,1.307071999999999e-06,8.46216328675633e-05,1.307071999999999e-06,8.462385767488555e-09
1.307077999999999e-06,0.07573110847109034,1.307077999999999e-06,0.04259991229870971,1.307077999999999e-06,0.007775366086117539,1.307077999999999e-06,0.0008079221573866012,1.307077999999999e-06,8.087011814717412e-05,1.307077999999999e-06,8.087201124193888e-09
